collected_at,route_short_name,route_id,trip_id,stop_id,stop_sequence,raw_arrival_delay_s,raw_departure_delay_s,computed_arrival_delay_s,computed_departure_delay_s
2026-09-09T06:40:02.725053+00:00,74,,block_552_trip_6_service_1,stop_248_41329,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_552_trip_6_service_1,stop_246_40829,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_552_trip_6_service_1,stop_245_40729,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_552_trip_6_service_1,stop_199_11229,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_552_trip_6_service_1,stop_8_16,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_305_71529,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_306_71629,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_299_63229,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_298_63049,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_297_62429,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_296_62329,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_339_62129,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_820_315829,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_278_57029,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_1103_347129,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_227_36229,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_223_35819,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_222_35729,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_852_324239,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_204_12629,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_203_12529,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_207_12919,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_208_13019,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_574_304019,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_1495_373519,0,,,,
2026-09-09T06:40:02.725053+00:00,74,,block_554_trip_5_service_1,stop_8_15,0,,,,
